,timestamp,datetime,symbol,id,order,type,takerOrMaker,side,price,cost,amount,fee,time_exchange,size
91294987,1550434234992,,BTC/USDT,,,,,sell,3621.65,497.92255025,,,2019-02-17 20:10:34.992,0.137485
91294988,1550434236381,,BTC/USDT,,,,,sell,3621.61,11.44066599,,,2019-02-17 20:10:36.381,0.003159
91294989,1550434244811,,BTC/USDT,,,,,sell,3621.67,205.2762556,,,2019-02-17 20:10:44.811,0.05668
91294990,1550434245157,,BTC/USDT,,,,,buy,3622.58,20.50018022,,,2019-02-17 20:10:45.157,0.005659
91294991,1550434246823,,BTC/USDT,,,,,sell,3621.61,11.991150710000001,,,2019-02-17 20:10:46.823,0.003311
91294992,1550434248524,,BTC/USDT,,,,,buy,3622.08,719.06980992,,,2019-02-17 20:10:48.524,0.198524
91294993,1550434248880,,BTC/USDT,,,,,sell,3621.63,200.59484244,,,2019-02-17 20:10:48.880,0.055388
91294994,1550434248880,,BTC/USDT,,,,,sell,3621.61,992.0205463700001,,,2019-02-17 20:10:48.880,0.273917
91294995,1550434252034,,BTC/USDT,,,,,buy,3622.16,863.0339524,,,2019-02-17 20:10:52.034,0.238265
91294996,1550434254479,,BTC/USDT,,,,,buy,3622.58,22.07237994,,,2019-02-17 20:10:54.479,0.006093
91294997,1550434257073,,BTC/USDT,,,,,sell,3621.67,11.234420340000002,,,2019-02-17 20:10:57.073,0.003102
91294998,1550434257964,,BTC/USDT,,,,,sell,3622.27,102.41968425,,,2019-02-17 20:10:57.964,0.028275
91294999,1550434257967,,BTC/USDT,,,,,sell,3621.67,242.05793612000002,,,2019-02-17 20:10:57.967,0.066836
91295000,1550434259902,,BTC/USDT,,,,,buy,3622.53,185.06056758,,,2019-02-17 20:10:59.902,0.051086
91295001,1550434259902,,BTC/USDT,,,,,buy,3622.55,435.16606385,,,2019-02-17 20:10:59.902,0.120127
91295002,1550434261530,,BTC/USDT,,,,,buy,3622.63,53.52073562,,,2019-02-17 20:11:01.530,0.014774
91295003,1550434262376,,BTC/USDT,,,,,buy,3622.6,1333.9608658,,,2019-02-17 20:11:02.376,0.368233
91295004,1550434262376,,BTC/USDT,,,,,buy,3622.62,3742.52509938,,,2019-02-17 20:11:02.376,1.033099
91295005,1550434262376,,BTC/USDT,,,,,buy,3622.63,66.38469475000001,,,2019-02-17 20:11:02.376,0.018325
91295006,1550434262376,,BTC/USDT,,,,,buy,3622.64,11.3569764,,,2019-02-17 20:11:02.376,0.003135
91295007,1550434262376,,BTC/USDT,,,,,buy,3623.0,765.000073,,,2019-02-17 20:11:02.376,0.211151
91295008,1550434262376,,BTC/USDT,,,,,buy,3623.05,41.71942075,,,2019-02-17 20:11:02.376,0.011515
91295009,1550434262376,,BTC/USDT,,,,,buy,3623.07,958.7730141,,,2019-02-17 20:11:02.376,0.26463
91295010,1550434262376,,BTC/USDT,,,,,buy,3623.27,3452.7335509100003,,,2019-02-17 20:11:02.376,0.952933
91295011,1550434262591,,BTC/USDT,,,,,buy,3623.28,103.75986936,,,2019-02-17 20:11:02.591,0.028637
91295012,1550434262637,,BTC/USDT,,,,,buy,3623.26,101.49113586000001,,,2019-02-17 20:11:02.637,0.028011
91295013,1550434262646,,BTC/USDT,,,,,buy,3623.26,800.4868318,,,2019-02-17 20:11:02.646,0.22093
91295014,1550434262687,,BTC/USDT,,,,,buy,3623.26,80.36753006,,,2019-02-17 20:11:02.687,0.022181
91295015,1550434263043,,BTC/USDT,,,,,buy,3622.29,1167.6379369200001,,,2019-02-17 20:11:03.043,0.322348
91295016,1550434263152,,BTC/USDT,,,,,buy,3623.26,1106.35157122,,,2019-02-17 20:11:03.152,0.305347
91295017,1550434263273,,BTC/USDT,,,,,buy,3623.26,103.29914260000001,,,2019-02-17 20:11:03.273,0.02851
