time_exchange,symbol_id,price,size,bid1_price,bid1_size,ask1_price,ask1_size,bid2_price,bid2_size,ask2_price,ask2_size,bid3_price,bid3_size,ask3_price,ask3_size,bid4_price,bid4_size,ask4_price,ask4_size,bid5_price,bid5_size,ask5_price,ask5_size,bid6_price,bid6_size,ask6_price,ask6_size,bid7_price,bid7_size,ask7_price,ask7_size,bid8_price,bid8_size,ask8_price,ask8_size,bid9_price,bid9_size,ask9_price,ask9_size,bid10_price,bid10_size,ask10_price,ask10_size,bid11_price,bid11_size,ask11_price,ask11_size,bid12_price,bid12_size,ask12_price,ask12_size,bid13_price,bid13_size,ask13_price,ask13_size,bid14_price,bid14_size,ask14_price,ask14_size,bid15_price,bid15_size,ask15_price,ask15_size,bid16_price,bid16_size,ask16_price,ask16_size,bid17_price,bid17_size,ask17_price,ask17_size,bid18_price,bid18_size,ask18_price,ask18_size,bid19_price,bid19_size,ask19_price,ask19_size,bid20_price,bid20_size,ask20_price,ask20_size
2019-02-17 20:12:58.280,BINANCE_SPOT_BTC_USDT,3624.02000000,0.00306000,3622.82,0.060706,3624.02,1.016026,3622.57,0.221532,3624.05,3.64822,3621.76,0.12,3624.28,0.033091,3621.73,0.04665,3624.63,0.03309,3621.72,0.006073,3624.84,0.5,3621.71,0.646292,3624.85,0.5,3621.7,0.05337,3625.11,1.5,3621.69,1.245564,3625.13,8.563861,3621.67,5.05,3625.25,0.109278,3621.65,0.013805,3625.99,0.959915,3621.61,0.064639,3626.0,0.018606,3621.51,0.007727,3626.25,0.132432,3621.43,0.5,3626.38,0.582295,3621.42,0.523421,3626.45,0.345134,3621.34,0.5,3626.5,0.09996,3621.26,1.0,3626.8,0.03308,3621.0,0.003,3626.81,0.173603,3620.37,0.329,3626.85,0.004135,3620.34,1.96979,3626.92,0.0035,3620.33,0.5,3627.0,0.250357
2019-02-17 20:13:00.440,BINANCE_SPOT_BTC_USDT,3624.03000000,0.00930100,3622.86,0.060705,3624.03,0.097407,3622.85,1.0,3624.05,3.64822,3622.57,0.221532,3624.28,0.033091,3621.73,0.04665,3624.63,0.03309,3621.72,0.006073,3624.84,0.5,3621.71,0.646292,3624.85,0.5,3621.7,0.05337,3625.11,1.5,3621.69,1.245564,3625.13,8.563861,3621.67,5.05,3625.25,0.109278,3621.65,0.013805,3626.0,0.018606,3621.61,0.064639,3626.25,0.132432,3621.51,0.007727,3626.45,0.345134,3621.43,0.5,3626.5,0.09996,3621.42,0.523421,3626.8,0.03308,3621.34,0.5,3626.81,0.173603,3621.26,1.0,3626.85,0.004135,3621.0,0.003,3626.92,0.0035,3620.38,0.223582,3627.0,0.250357,3620.37,0.329,3627.45,0.033077,3620.33,0.5,3627.54,1.868813
2019-02-17 20:13:02.234,BINANCE_SPOT_BTC_USDT,3623.32000000,0.09562800,3622.86,0.060705,3624.01,1.0,3622.57,0.221532,3624.03,0.097407,3621.73,0.04665,3624.05,3.64822,3621.71,0.652365,3624.28,0.033091,3621.7,0.05337,3624.6,1.0,3621.69,1.245564,3624.63,0.03309,3621.67,5.05,3625.11,1.5,3621.65,0.013805,3625.13,8.563861,3621.61,0.064639,3625.25,0.109278,3621.51,0.007727,3626.0,0.018606,3621.43,0.5,3626.25,0.160125,3621.42,0.523421,3626.45,0.345134,3621.34,0.5,3626.5,0.09996,3621.26,1.0,3626.8,0.03308,3621.0,0.003,3626.81,0.173603,3620.38,0.223582,3626.85,0.004135,3620.37,0.329,3626.92,0.0035,3620.1,0.3,3627.0,0.250357,3620.0,0.003,3627.45,0.033077,3619.76,0.5,3627.54,1.868813
2019-02-17 20:13:04.407,BINANCE_SPOT_BTC_USDT,3622.86000000,0.00305500,3622.86,0.05765,3624.02,0.003083,3622.57,0.221532,3624.03,1.097407,3621.73,0.16665,3624.05,3.64822,3621.71,0.652365,3624.28,0.033091,3621.7,0.05337,3624.63,0.03309,3621.69,1.245564,3625.11,1.527788,3621.67,5.05,3625.13,8.563861,3621.65,0.013805,3625.25,0.109278,3621.61,0.064639,3626.0,0.018606,3621.51,0.007727,3626.24,0.959915,3621.43,0.5,3626.25,0.132432,3621.42,0.523421,3626.45,0.345134,3621.34,0.5,3626.5,0.09996,3621.26,1.0,3626.8,0.03308,3621.0,0.003,3626.81,0.173603,3620.38,0.223582,3626.85,0.004135,3620.37,0.329,3626.92,0.0035,3620.1,0.3,3627.0,0.250357,3620.0,0.003,3627.45,0.033077,3619.76,0.5,3627.54,1.868813
2019-02-17 20:13:06.636,BINANCE_SPOT_BTC_USDT,3622.86000000,0.00868500,3622.86,0.05202,3623.94,0.027824,3622.57,0.221532,3623.95,0.003083,3621.73,0.16665,3623.96,1.0,3621.71,0.652365,3623.98,0.153772,3621.7,0.05337,3624.05,3.64822,3621.69,1.245564,3624.28,0.033091,3621.67,5.05,3624.63,0.03309,3621.65,0.013805,3624.99,0.5,3621.61,0.064639,3625.11,1.5,3621.51,0.007727,3625.13,8.563861,3621.43,0.5,3625.25,0.109278,3621.42,0.523421,3626.0,0.018606,3621.34,0.5,3626.24,0.959915,3621.26,1.0,3626.25,0.132432,3621.0,0.003,3626.45,0.345134,3620.38,0.223582,3626.5,0.09996,3620.37,0.329,3626.8,0.03308,3620.1,0.3,3626.81,0.173603,3620.0,0.003,3626.85,0.004135,3619.76,0.5,3627.0,0.250357
2019-02-17 20:13:08.787,BINANCE_SPOT_BTC_USDT,3623.64000000,0.28319400,3622.86,0.05202,3623.32,0.0045,3622.57,0.221532,3623.93,0.027627,3621.75,0.148103,3623.94,1.0,3621.73,0.16665,3623.95,0.003083,3621.71,0.50426,3623.98,0.153772,3621.7,0.05337,3624.02,0.480719,3621.69,1.245564,3624.05,3.64822,3621.67,5.05,3624.28,0.033091,3621.65,0.013805,3624.63,0.03309,3621.61,0.064639,3624.95,0.5,3621.43,0.5,3624.96,0.5,3621.42,0.523421,3625.11,1.5,3621.34,0.5,3625.13,8.563861,3621.0,0.003,3625.25,0.109278,3620.47,1.0,3626.0,0.018606,3620.38,0.223582,3626.24,0.959915,3620.37,0.329,3626.25,0.132432,3620.1,0.3,3626.45,0.345134,3620.0,0.003,3626.5,0.09996,3619.76,0.5,3626.8,0.03308
2019-02-17 20:13:10.944,BINANCE_SPOT_BTC_USDT,3623.18000000,0.15473500,3623.18,0.023618,3623.3,0.023618,3622.86,0.05202,3623.32,0.0045,3622.57,0.221532,3623.95,0.003083,3621.73,0.12,3624.02,0.480719,3621.71,0.652363,3624.05,3.64822,3621.7,0.05337,3624.28,0.033091,3621.69,1.245564,3624.63,0.03309,3621.67,5.05,3624.95,0.5,3621.61,0.064639,3624.96,0.5,3621.43,0.5,3625.11,1.527559,3621.42,0.523421,3625.13,8.563861,3621.34,0.5,3625.25,0.109278,3621.15,1.0,3626.0,0.018606,3621.0,0.003,3626.24,0.959915,3620.38,0.223582,3626.25,0.132432,3620.37,0.336727,3626.45,0.345134,3620.1,0.3,3626.5,0.09996,3620.0,0.003,3626.8,0.03308,3619.76,0.5,3626.81,0.173603,3619.54,0.068137,3626.85,0.004135
2019-02-17 20:13:13.046,BINANCE_SPOT_BTC_USDT,3624.05000000,0.29122800,3623.19,0.060701,3624.27,0.00563,3623.18,0.023618,3624.28,0.033091,3622.88,0.013801,3624.63,0.03309,3622.57,0.221532,3624.94,0.5,3621.74,0.046388,3624.95,0.5,3621.73,0.12,3625.11,4.857,3621.71,0.652363,3625.13,8.563861,3621.7,0.05337,3625.25,0.109278,3621.69,1.245564,3626.0,0.018606,3621.67,5.05,3626.24,0.959915,3621.61,0.064639,3626.25,0.132432,3621.43,0.5,3626.45,0.345134,3621.42,0.523421,3626.5,0.09996,3621.34,0.5,3626.8,0.03308,3621.0,0.003,3626.81,0.173603,3620.53,1.0,3626.85,0.004135,3620.38,0.223582,3627.0,0.250357,3620.37,0.336727,3627.45,0.033077,3620.1,0.3,3627.54,1.868813,3620.0,0.003,3627.55,0.033526
2019-02-17 20:13:15.078,BINANCE_SPOT_BTC_USDT,3623.19000000,0.00774800,3623.19,0.052953,3624.26,1.0,3623.18,0.023618,3624.27,0.00563,3623.05,0.230222,3624.28,0.033091,3622.88,0.013801,3624.63,0.03309,3621.74,0.046388,3624.94,0.5,3621.71,0.652363,3624.95,0.5,3621.7,0.05337,3625.11,4.857,3621.69,1.245564,3625.13,8.563861,3621.67,5.05,3625.25,0.109278,3621.61,0.064639,3626.0,0.018606,3621.43,0.5,3626.25,0.132432,3621.42,0.523421,3626.45,0.345134,3621.34,0.5,3626.5,0.09996,3621.28,1.0,3626.8,0.03308,3621.0,0.003,3626.81,0.173603,3620.38,0.223582,3626.85,0.004135,3620.37,0.336727,3627.0,0.250357,3620.1,0.3,3627.45,0.033077,3620.0,0.003,3627.54,1.868813,3619.76,0.5,3627.55,0.033526
2019-02-17 20:13:17.131,BINANCE_SPOT_BTC_USDT,3623.21000000,0.12384800,3623.19,0.052953,3624.25,2.3,3623.05,0.230222,3624.26,1.0,3622.88,0.013801,3624.27,0.00563,3622.45,0.12,3624.28,0.033091,3621.88,0.429458,3624.63,0.03309,3621.86,0.5,3624.89,0.5,3621.74,0.046388,3624.93,0.955366,3621.71,0.222858,3624.94,0.5,3621.7,0.05337,3625.11,4.857,3621.69,1.245564,3625.13,8.563861,3621.67,5.05,3625.25,0.109278,3621.61,0.064639,3626.0,0.018606,3621.43,0.5,3626.25,0.132432,3621.42,0.523421,3626.45,0.345134,3621.28,1.0,3626.5,0.09996,3621.0,0.003,3626.79,0.959915,3620.52,0.5,3626.8,0.03308,3620.38,0.223582,3626.81,0.173603,3620.37,0.336727,3626.85,0.004135,3620.1,0.3,3627.0,0.250357
2019-02-17 20:13:19.114,BINANCE_SPOT_BTC_USDT,3624.25000000,0.65378400,3623.19,0.052953,3624.25,1.646216,3623.05,0.230222,3624.26,1.0,3622.88,0.013801,3624.27,0.00563,3622.45,0.12,3624.28,0.033091,3621.88,0.429458,3624.63,0.03309,3621.86,0.5,3624.89,0.5,3621.74,0.046388,3624.94,0.5,3621.71,0.222858,3624.96,0.027572,3621.7,0.05337,3625.11,4.857,3621.69,1.245564,3625.13,8.563861,3621.67,5.05,3625.25,0.109278,3621.61,0.064639,3626.0,0.018606,3621.55,0.5,3626.25,0.132432,3621.42,0.523421,3626.5,0.09996,3621.28,1.0,3626.8,0.03308,3621.0,0.003,3626.81,0.173603,3620.52,0.5,3626.85,0.004135,3620.38,0.223582,3627.0,0.250357,3620.37,0.336727,3627.45,0.033077,3620.1,0.3,3627.54,1.868813
2019-02-17 20:13:20.993,BINANCE_SPOT_BTC_USDT,3624.26000000,0.02209200,3623.19,0.052953,3624.26,0.977908,3623.05,0.230222,3624.27,0.00563,3622.88,0.013801,3624.28,0.033091,3621.9,0.14809,3624.3,0.015825,3621.89,0.046258,3624.63,0.03309,3621.88,0.429458,3624.88,0.911252,3621.86,0.5,3624.89,0.5,3621.71,0.074755,3624.94,0.5,3621.7,0.05337,3625.11,4.857,3621.69,1.245564,3625.13,8.563861,3621.67,5.05,3625.25,0.109278,3621.61,0.064639,3626.0,0.018606,3621.55,0.5,3626.25,0.132432,3621.42,0.523421,3626.5,0.09996,3621.28,1.0,3626.8,0.03308,3621.0,0.003,3626.81,0.173603,3620.52,0.5,3626.85,0.004135,3620.38,0.223582,3627.0,0.250357,3620.37,0.336727,3627.45,0.033077,3620.1,0.3,3627.54,1.868813
2019-02-17 20:13:23.089,BINANCE_SPOT_BTC_USDT,3623.21000000,0.07227400,3623.21,2.4e-05,3624.26,0.86394,3623.19,0.049846,3624.27,0.00563,3623.05,0.230222,3624.28,0.033091,3622.88,0.013801,3624.3,0.015825,3621.9,0.14809,3624.63,0.03309,3621.89,0.046258,3624.88,0.911252,3621.88,0.429458,3624.89,0.5,3621.86,0.5,3624.94,0.5,3621.71,0.074755,3625.11,4.857,3621.7,0.05337,3625.13,8.563861,3621.69,1.245564,3625.25,0.109278,3621.67,5.05,3626.0,0.018606,3621.61,0.064639,3626.25,0.132432,3621.55,0.5,3626.5,0.09996,3621.42,0.523421,3626.8,0.03308,3621.28,1.0,3626.81,0.173603,3621.0,0.003,3626.85,0.004135,3620.52,0.5,3627.0,0.250357,3620.38,0.223582,3627.45,0.033077,3620.37,0.336727,3627.54,1.868813
2019-02-17 20:13:25.270,BINANCE_SPOT_BTC_USDT,3623.19000000,0.03178100,3623.06,0.049964,3624.24,0.055685,3623.05,0.230222,3624.25,3.7,3622.88,0.013801,3624.28,0.033091,3621.95,0.14809,3624.3,0.015825,3621.93,0.12,3624.63,0.03309,3621.89,0.046258,3624.88,0.911252,3621.88,0.429458,3624.89,0.5,3621.86,0.5,3624.94,0.5,3621.72,0.006072,3625.11,4.884709,3621.71,0.068682,3625.13,8.563861,3621.7,0.05337,3625.25,0.109278,3621.69,1.245564,3626.0,0.018606,3621.67,5.05,3626.25,0.132432,3621.61,0.064639,3626.5,0.09996,3621.55,0.5,3626.8,0.03308,3621.42,0.523421,3626.81,0.173603,3621.28,1.0,3626.85,0.004135,3621.0,0.003,3627.0,0.250357,3620.52,0.5,3627.45,0.033077,3620.38,0.223582,3627.54,1.868813
2019-02-17 20:13:27.219,BINANCE_SPOT_BTC_USDT,3624.24000000,0.00513300,3623.09,0.060702,3624.22,7.055685,3623.08,0.092918,3624.25,3.7,3622.88,0.013801,3624.28,0.033091,3621.95,0.14809,3624.3,0.015825,3621.93,0.12,3624.63,0.03309,3621.89,0.046258,3624.89,0.5,3621.88,0.429458,3624.94,0.5,3621.86,0.5,3625.11,4.884505,3621.71,0.07475,3625.13,8.563861,3621.7,0.05337,3625.25,0.109278,3621.69,1.245564,3626.0,0.018606,3621.67,5.05,3626.25,0.132432,3621.61,0.064639,3626.5,0.09996,3621.55,0.5,3626.8,0.03308,3621.42,0.523421,3626.81,0.173603,3621.28,1.0,3626.85,0.004135,3621.0,0.003,3627.0,0.250357,3620.38,0.223582,3627.45,0.033077,3620.37,0.336727,3627.54,1.868813,3620.1,0.3,3627.55,0.033526
2019-02-17 20:13:28.940,BINANCE_SPOT_BTC_USDT,3624.20000000,0.02790000,3623.09,0.060702,3624.2,0.027785,3623.08,0.092918,3624.22,7.0,3622.88,0.013801,3624.25,3.7,3621.95,0.14809,3624.28,0.033091,3621.93,0.12,3624.3,0.015825,3621.89,0.046258,3624.63,0.03309,3621.88,0.429458,3624.89,0.5,3621.86,0.5,3624.94,0.5,3621.71,0.07475,3624.98,0.027703,3621.7,0.05337,3625.11,4.857,3621.69,1.245564,3625.13,8.563861,3621.67,5.05,3625.25,0.109278,3621.61,0.064639,3626.0,0.018606,3621.55,0.5,3626.25,0.132432,3621.42,0.523421,3626.5,0.09996,3621.28,1.0,3626.8,0.03308,3621.0,0.003,3626.81,0.173603,3620.38,0.223582,3626.85,0.004135,3620.37,0.329,3627.0,0.250357,3620.1,0.3,3627.45,0.033077
2019-02-17 20:13:31.377,BINANCE_SPOT_BTC_USDT,3624.19000000,0.01396600,3623.09,0.060702,3624.19,5.996772,3623.08,0.092918,3624.28,0.033091,3622.88,0.013801,3624.3,0.015825,3621.95,0.14809,3624.63,0.03309,3621.93,0.12,3624.89,0.5,3621.89,0.046258,3624.94,0.5,3621.88,0.429458,3625.11,4.857,3621.86,0.5,3625.13,8.563861,3621.71,0.07475,3625.25,0.109278,3621.7,0.05337,3626.0,0.018606,3621.69,1.245564,3626.25,0.132432,3621.67,5.05,3626.5,0.09996,3621.61,0.064639,3626.8,0.03308,3621.55,0.5,3626.81,0.173603,3621.42,0.523421,3626.85,0.004135,3621.28,1.0,3627.0,0.250357,3621.0,0.003,3627.45,0.033077,3620.38,0.223582,3627.54,1.868813,3620.37,0.329,3627.55,0.033526,3620.1,0.3,3627.62,1.0
2019-02-17 20:13:32.946,BINANCE_SPOT_BTC_USDT,3623.09000000,0.00332100,3623.09,0.057381,3624.17,6.2,3622.88,0.013801,3624.18,6.0,3621.95,0.14809,3624.28,0.033091,3621.93,0.12,3624.3,0.015825,3621.89,0.046258,3624.63,0.03309,3621.88,0.429458,3624.89,0.5,3621.86,0.5,3624.98,0.5,3621.71,0.07475,3625.11,4.857,3621.7,0.05337,3625.13,8.563861,3621.69,1.245564,3625.25,0.109278,3621.67,5.05,3626.0,0.018606,3621.61,0.064639,3626.25,0.132432,3621.55,0.5,3626.5,0.09996,3621.42,0.523421,3626.8,0.03308,3621.28,1.0,3626.81,0.173603,3621.0,0.003,3626.85,0.004135,3620.38,0.223582,3627.0,0.250357,3620.37,0.329,3627.45,0.033077,3620.1,0.3,3627.54,1.868813,3620.0,0.003,3627.55,0.033526
2019-02-17 20:13:35.343,BINANCE_SPOT_BTC_USDT,3624.16000000,0.32614600,3622.14,0.060704,3624.13,0.135646,3622.13,0.006074,3624.14,6.0,3622.11,0.216829,3624.16,0.3,3622.09,1.675392,3624.17,1.0,3622.08,0.224824,3624.28,0.033091,3622.07,10.0,3624.3,0.015825,3622.04,0.14607,3624.5,0.11137,3621.96,1.0,3624.63,0.03309,3621.86,0.5,3624.89,0.5,3621.7,0.05337,3624.97,0.5,3621.67,5.05,3625.11,4.857,3621.61,0.064639,3625.13,8.563861,3621.55,0.5,3625.25,0.109278,3621.42,0.523421,3626.0,0.018606,3621.28,1.0,3626.25,0.132432,3621.0,0.003,3626.5,0.09996,3620.38,0.223582,3626.8,0.03308,3620.37,0.329,3626.81,0.173603,3620.1,0.3,3626.85,0.004135,3620.0,0.003,3627.0,0.250357
